total_freight_value,total_payment,payment_installments,total_price
7.88,96.88,2.0,89.0
14.78,132.64,1.0,51.54
15.46,1115.45,8.0,1099.99
11.74,44.73,2.0,32.99
16.45,115.45,2.0,99.0
33.73,132.73,10.0,99.0
52.99,175.98,3.0,122.99
18.29,167.29,3.0,149.0
21.12,111.02,3.0,89.9
14.93,103.93,4.0,89.0
14.52,49.51,4.0,34.99
17.88,107.87,2.0,89.99
7.39,22.39,2.0,15.0
16.93,86.83,1.0,69.9
7.78,20.03,1.0,12.25
16.2,366.19,2.0,349.99
17.37,157.27,2.0,139.9
8.11,38.01,1.0,29.9
14.05,112.05,1.0,98.0
23.27,91.04,2.0,67.77
18.63,93.63,4.0,75.0
35.55,374.85,6.0,89.4
22.27,71.26,7.0,48.99
34.68,204.58,4.0,169.9
17.99,123.89,8.0,105.9
181.76,777.76,8.0,596.0
12.69,48.68,2.0,35.99
14.1,53.1,1.0,39.0
88.24,347.24,10.0,259.0
19.73,89.63,3.0,69.9
8.72,65.71,2.0,56.99
23.46,286.52,10.0,119.8
48.12,1716.12,3.0,237.9
12.69,38.59,1.0,25.9
17.7,225.03,3.0,207.33
12.25,119.25,1.0,107.0
15.15,72.14,7.0,56.99
19.87,109.77,1.0,89.9
23.21,411.21,1.0,388.0
20.84,59.74,3.0,38.9
18.09,91.08,1.0,72.99
9.29,89.19,3.0,79.9
24.96,1347.96,8.0,1323.0
15.5,43.49,1.0,27.99
18.44,66.44,1.0,48.0
17.71,83.7,1.0,65.99
12.43,82.43,1.0,70.0
20.08,139.98,4.0,119.9
15.34,50.24,1.0,34.9
138.4,876.8,10.0,300.0
12.83,112.83,1.0,100.0
14.24,84.23,8.0,69.99
30.52,276.6,1.0,107.78
21.63,401.63,1.0,380.0
15.17,75.07,1.0,59.9
24.35,38.33,1.0,13.98
16.02,146.01,9.0,129.99
91.19,371.18,10.0,279.99
24.09,91.99,1.0,67.9
20.64,100.54,3.0,79.9
25.04,129.01,2.0,103.97
17.22,86.22,1.0,69.0
14.1,54.0,1.0,39.9
14.1,44.09,1.0,29.99
15.1,38.09,1.0,22.99
19.11,48.11,2.0,29.0
12.79,34.79,1.0,22.0
16.6,52.59,1.0,35.99
14.1,34.0,1.0,19.9
18.79,238.69,5.0,219.9
16.05,49.04,1.0,32.99
17.05,140.04,3.0,122.99
15.04,118.99,2.0,103.95
17.64,66.64,1.0,49.0
16.82,407.81,5.0,390.99
13.73,331.73,8.0,318.0
15.1,45.0,4.0,29.9
18.06,80.96,8.0,62.9
18.36,177.36,1.0,159.0
12.83,82.63,1.0,69.8
13.79,123.79,1.0,110.0
34.86,465.72,3.0,198.0
14.81,86.71,1.0,71.9
22.96,76.86,5.0,53.9
12.17,132.16,5.0,119.99
19.39,79.29,7.0,59.9
22.06,36.96,1.0,14.9
15.26,37.58,3.0,22.32
60.4,640.0,1.0,99.6
42.78,95.68,4.0,52.9
15.45,115.44,3.0,99.99
19.49,189.39,2.0,169.9
10.96,37.86,1.0,26.9
15.73,155.23,3.0,139.5
13.21,91.21,5.0,78.0
13.52,85.42,5.0,71.9
20.99,70.89,7.0,49.9
19.04,38.04,3.0,19.0
33.03,359.19,1.0,326.16
18.23,48.13,1.0,29.9
7.78,47.38,1.0,39.6
22.23,271.23,1.0,249.0
15.56,34.68,1.0,53.8
138.9,5119.5,1.0,885.0
41.44,682.48,1.0,299.8
19.37,76.36,1.0,56.99
18.17,208.07,4.0,189.9
18.28,243.28,4.0,225.0
15.72,135.22,4.0,119.5
15.92,182.92,5.0,167.0
24.91,174.81,1.0,149.9
93.24,1251.36,1.0,219.6
20.19,318.69,1.0,298.5
7.44,32.43,1.0,24.99
15.66,80.56,1.0,64.9
14.11,34.01,3.0,19.9
23.02,1078.92,10.0,1055.9
28.3,160.2,5.0,131.9
28.06,48.01,4.0,19.95
15.69,245.59,1.0,229.9
15.79,40.69,1.0,24.9
18.72,138.72,1.0,120.0
17.64,73.54,2.0,55.9
11.24,101.14,1.0,89.9
30.2,86.0,1.0,55.8
9.7,79.7,1.0,70.0
13.79,1002.79,10.0,989.0
29.93,179.83,1.0,149.9
15.39,245.29,4.0,229.9
82.16,139.07,1.0,195.98
15.95,185.94,1.0,169.99
18.39,60.38,2.0,41.99
20.8,65.7,1.0,44.9
15.38,105.08,9.0,89.7
45.8,297.38,10.0,102.89
8.72,30.62,1.0,21.9
14.52,44.02,1.0,29.5
28.2,145.5,8.0,117.3
28.2,176.0,4.0,59.8
10.96,34.86,1.0,23.9
19.63,113.23,6.0,93.6
20.98,90.88,4.0,69.9
19.58,75.68,3.0,56.1
44.24,803.24,1.0,759.0
15.43,314.43,2.0,299.0
35.94,463.48,1.0,195.8
23.99,193.98,3.0,169.99
18.41,1318.06,1.0,1299.65
17.01,195.0,3.0,177.99
7.78,35.77,1.0,27.99
19.52,159.42,7.0,139.9
16.95,116.95,1.0,100.0
38.94,237.94,2.0,199.0
58.39,238.38,1.0,179.99
17.56,218.94,1.0,201.38
8.72,33.72,1.0,25.0
9.78,159.68,1.0,149.9
15.73,105.72,1.0,89.99
28.18,828.08,8.0,799.9
37.79,213.78,10.0,69.10000000000001
10.47,335.47,6.0,325.0
7.39,37.39,1.0,30.0
